LightGBM-Categorical,,Value,,,,,
Features,,,,,,,
,Airline,category,,,,,
,Origin,category,,,,,
,Dest,category,,,,,
,Distance,float64,,,,,
,day_of_week,category,,,,,
,day,int32,,,,,
,week_of_year,UInt32,,,,,
,month_sin,float64,,,,,
,month_cos,float64,,,,,
,hour_sin,float64,,,,,
,hour_cos,float64,,,,,
,minute_sin,float64,,,,,
,minute_cos,float64,,,,,
,,,,,,,
Hyperparameters,,Value,,,,,
,colsample_bytree,0.819758663105755,,,,,
,learning_rate,0.1071949436149192,,,,,
,max_depth,49,,,,,
,n_estimators,409,,,,,
,num_leaves,95,,,,,
,subsample,0.8311833080516193,,,,,
,,,,,,,
Metrics,,Value,,,,,
,Mean Absolute Error (MAE),12.8110,,,,,
,Mean Squared Error (MSE),455.9757,,,,,
,Root Mean Squared Error (RMSE),21.3536,,,,,
,R-squared (R2),0.1601,,,,,
